learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),labeling cost,newThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
220000.0,13.391288027,0.01322508995,37806.926220566085,0.00887387305,56345.18289621013,3.482031168171246E-7,220000.0,89.3190909090909,78.6381726820284,78.70207559140758,78.60667528542034,220000.0,125640.0,0.2655636363636364,0.5,490.7,316.41957026145593,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230000.0,14.144276652,0.017539743899999998,28506.687603346367,0.012514621200000001,39953.26682360949,3.677403522781138E-7,230000.0,89.35260869565217,78.70521708214757,78.75270048673832,78.6792617099077,230000.0,125640.0,0.2649478260869565,0.5,473.50000000000006,304.8530611440353,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240000.0,14.747675575,0.014419136599999998,34676.14004017411,0.00954638365,52375.8543896358,3.833194540329319E-7,240000.0,89.37,78.73999836859016,78.79671877727081,78.70912823594213,240000.0,125640.0,0.26474583333333335,0.5,495.40000000000003,313.9282295897159,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250000.0,15.393493748,0.015355535549999999,32561.547487023337,0.01028763515,48602.0346473893,3.999891345357564E-7,250000.0,89.4032,78.80640405831932,78.86389021860539,78.77379655150311,250000.0,125640.0,0.264548,0.5,493.6,317.6948920653973,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260000.0,16.005263743,0.0145480527,34368.86092665859,0.00986460745,50686.25411951897,4.158589054656257E-7,260000.0,89.42307692307693,78.84616016601996,78.9179948329922,78.80915136430538,260000.0,125640.0,0.2640269230769231,0.5,490.40000000000003,312.02499899847766,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270000.0,16.640830155,0.015239942949999998,32808.52176680885,0.0101181033,49416.376288627136,4.32343237068322E-7,270000.0,89.44518518518518,78.89037403979671,78.9625211312314,78.8559133402582,270000.0,125640.0,0.2635888888888889,0.5,468.4,299.43658204479067,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280000.0,17.340050729,0.0164468668,30400.92718450179,0.0113946856,43880.10494997774,4.5044200451951894E-7,280000.0,89.45642857142857,78.91285951946394,78.98206619631071,78.87921474920766,280000.0,125640.0,0.26320714285714286,0.5,477.40000000000003,309.07755229607557,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
290000.0,17.820178738,0.01143142455,43739.08062053386,0.00769812745,64950.86022510578,4.6287742148619563E-7,290000.0,89.47827586206897,78.95654354696603,79.01011212767422,78.89965354853433,290000.0,125640.0,0.26281724137931034,0.5,474.0999999999999,303.5978516978596,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300000.0,18.354412132,0.01271311565,39329.46208980644,0.00849924745,58828.737831371174,4.7666679721214297E-7,300000.0,89.518,79.03595721005932,79.07673063103825,78.97277815297996,300000.0,125640.0,0.26255,0.5,480.49999999999994,307.5965069878251,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
310000.0,18.870166269,0.01232211545,40577.44808745482,0.00829993215,60241.45631118202,4.900724305804861E-7,310000.0,89.53774193548387,79.07543996989082,79.10419874623904,79.01496573990799,310000.0,125640.0,0.26228709677419354,0.5,489.29999999999995,313.27093350289897,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
